repo,sha,author,date,message,additions,deletions,total_changes
jlevy/the-art-of-command-line,e7241594c3ce39656fbbd6825179a3573facd185,Joshua Levy,2018-08-19T00:35:51Z,Merge pull request #568 from koh7/master  update README-ja.md,110,14,124
jlevy/the-art-of-command-line,bc3f954351523285b698310ac19771fa0c9b19dc,Joshua Levy,2018-08-19T00:35:10Z,Merge pull request #572 from tangchengcheng/master  minor language edit,1,1,2
jlevy/the-art-of-command-line,a319616fa5be113da45c8301a52d85770eca042b,Joshua Levy,2018-08-19T00:34:21Z,Merge pull request #571 from ericguirbal/fr  fr: Synchronize the translation,46,30,76
jlevy/the-art-of-command-line,c89afb81169def5aa0c6724e02e6016dfbc6054f,Chengcheng Tang,2018-08-14T05:32:07Z,minor language edit,1,1,2
jlevy/the-art-of-command-line,14c19600f0a368eafa6d1bb618e91b3f308b38ee,Eric Guirbal,2018-08-06T15:57:43Z,fr: Synchronize the translation,46,30,76
jlevy/the-art-of-command-line,5ebfe9118f423ee3357c34d9d2879d8fa74546f2,Joshua Levy,2018-08-05T07:02:43Z,Add useful pandoc example  #569,1,1,2
jlevy/the-art-of-command-line,a393ebeaea63af0c58c3da3ae8934a9676b2783d,Joshua Levy,2018-08-05T06:59:21Z,Merge pull request #567 from gayu-mike/patch-1  Update `apt-get` to `apt`,1,1,2
jlevy/the-art-of-command-line,bcd4c080c3348ec2e644c88f3e3ee052554a9992,Joshua Levy,2018-08-05T06:55:42Z,Merge pull request #561 from nglee/ko  ko: Update Meta and Basics section,21,21,42
jlevy/the-art-of-command-line,3842e25e2412ad414abb292be44cbec985ff231b,koh7,2018-08-05T06:10:05Z,fix typo,2,2,4
jlevy/the-art-of-command-line,2d25e58a2257be40bbadca99f8aaa92a07cd39dd,koh7,2018-07-21T00:30:34Z,update README-ja.md,110,14,124
jlevy/the-art-of-command-line,592576949bd046933715adeefb6b06cfef444717,XinYu Zheng,2018-07-18T01:59:55Z,Update `apt-get` to `apt`  I suggest that updating `apt-get` to `apt` because the latter is more *up-to-date* . Most of `apt-get` and `apt-cache` 's commands are available on `apt` in a more *user-friendly* way. Check [this](https://lists.debian.org/debian-devel/2014/04/msg00013.html) out.,1,1,2
jlevy/the-art-of-command-line,54dfd78b037e3182cc939061758176e1f4baa812,Joshua Levy,2018-06-15T05:57:41Z,Merge pull request #563 from petk/patch-sl  sl: Update Slovenian translation,35,24,59
jlevy/the-art-of-command-line,8a560b5dc9f7b84ad8b9dfd0b45f73be9ab9cb4c,Peter Kokot,2018-06-13T10:25:30Z,sl: Update Slovenian translation,35,24,59
